,Number_of_var,F1_score
0.434,47,0.8244444444444443
0.435,47,0.8244444444444443
0.436,47,0.8244444444444443
0.437,47,0.8244444444444443
0.438,47,0.8244444444444443
0.439,47,0.8244444444444443
0.44,47,0.8244444444444443
0.441,47,0.8244444444444443
0.442,47,0.8244444444444443
0.443,47,0.8244444444444443
0.444,47,0.8244444444444443
0.445,47,0.8244444444444443
0.446,47,0.8244444444444443
0.447,47,0.8244444444444443
0.448,47,0.8244444444444443
0.449,47,0.8244444444444443
0.45,47,0.8244444444444443
0.451,47,0.8244444444444443
0.452,47,0.8244444444444443
0.453,47,0.8244444444444443
0.454,47,0.8244444444444443
0.455,47,0.8244444444444443
0.456,47,0.8244444444444443
0.457,47,0.8244444444444443
0.458,47,0.8244444444444443
0.459,47,0.8244444444444443
0.46,47,0.8244444444444443
0.461,47,0.8244444444444443
0.462,47,0.8244444444444443
0.463,47,0.8244444444444443
0.464,47,0.8244444444444443
0.465,47,0.8244444444444443
0.466,47,0.8244444444444443
0.467,47,0.8244444444444443
0.468,47,0.8244444444444443
0.46900000000000003,47,0.8244444444444443
0.47000000000000003,47,0.8244444444444443
0.47100000000000003,47,0.8244444444444443
0.47200000000000003,47,0.8244444444444443
0.47300000000000003,47,0.8244444444444443
0.47400000000000003,47,0.8244444444444443
0.47500000000000003,47,0.8244444444444443
